brand,aspect,mentions,avg_sentiment_score,negative_share
American Tourister,design,16,0.64651875,0.125
American Tourister,durability,23,0.42238695652173913,0.21739130434782608
American Tourister,handle,38,0.4960526315789474,0.18421052631578946
American Tourister,lock,9,0.6447222222222222,0.0
American Tourister,material,12,0.47425,0.16666666666666666
American Tourister,space,14,0.8832071428571429,0.0
American Tourister,value,27,0.5988629629629629,0.1111111111111111
American Tourister,wheels,6,0.3333333333333333,0.3333333333333333
American Tourister,zipper,7,0.8735428571428571,0.0
Safari,design,24,0.9042458333333333,0.0
Safari,durability,22,0.7857500000000001,0.09090909090909091
Safari,handle,54,0.7694111111111112,0.1111111111111111
Safari,lock,3,0.3333333333333333,0.3333333333333333
Safari,material,19,0.9951263157894736,0.0
Safari,space,16,0.989375,0.0
Safari,value,47,0.868791489361702,0.0851063829787234
Safari,wheels,16,0.95540625,0.0
Safari,zipper,12,0.9922833333333333,0.0
Skybags,design,20,0.64386,0.2
Skybags,durability,15,0.5749466666666667,0.26666666666666666
Skybags,handle,43,0.41833720930232554,0.3023255813953488
Skybags,lock,5,0.49063999999999997,0.4
Skybags,material,12,0.4791,0.25
Skybags,space,17,0.8360117647058823,0.058823529411764705
Skybags,value,29,0.847,0.034482758620689655
Skybags,wheels,6,0.7322000000000001,0.16666666666666666
Skybags,zipper,9,0.5017777777777778,0.2222222222222222
VIP,design,23,0.6935956521739131,0.13043478260869565
VIP,durability,17,0.4879470588235294,0.23529411764705882
VIP,handle,29,0.5761103448275862,0.1724137931034483
VIP,lock,15,0.7230733333333333,0.2
VIP,material,20,0.47369500000000003,0.3
VIP,space,17,0.6645,0.11764705882352941
VIP,value,8,0.9718,0.0
VIP,wheels,9,0.7674,0.1111111111111111
VIP,zipper,9,0.2919777777777777,0.3333333333333333
